,binding E,GCN,CN1,CN2,ratio surface,GCN mean,CN1 mean,CN2 mean
0,-1.4743500000000003,5.083333333333333,4.0,1.0,0.95,5.2,5.4,1.3
1,-1.6287500000000004,2.75,5.0,1.0,0.9,5.324999999999999,5.5,1.3
2,-1.4743500000000003,4.083333333333333,4.0,1.0,0.95,5.05,5.5,1.3
3,-1.4743500000000003,4.666666666666667,4.0,1.0,0.95,5.258333333333332,5.4,1.2
4,-1.77835,6.916666666666667,9.0,0.0,0.95,5.4125,5.6,1.3
5,-1.6329500000000003,7.666666666666667,8.0,3.0,0.95,5.029166666666667,5.4,1.3
6,-1.77835,4.833333333333333,5.0,0.0,0.95,4.891666666666667,5.5,1.3
7,-1.6287500000000004,5.916666666666667,5.0,1.0,0.95,5.2041666666666675,5.5,1.3
8,-1.6329500000000003,7.0,8.0,3.0,0.95,5.408333333333333,5.6,1.3
9,-1.6287500000000004,6.583333333333333,6.0,1.0,0.9,5.266666666666667,5.5,1.3
10,-1.4743500000000003,2.9166666666666665,4.0,1.0,0.95,5.4833333333333325,5.6,1.2
11,-1.77835,5.583333333333333,5.0,0.0,0.95,5.791666666666668,5.6,1.4
12,-1.8209999999999997,2.1666666666666665,5.0,2.0,0.95,5.345833333333333,5.6,1.4
13,-1.6144366666666665,4.416666666666667,3.0,1.0,0.95,5.874999999999999,5.6,1.3
14,-1.8209999999999997,4.666666666666667,5.0,2.0,0.95,5.029166666666667,5.4,1.4
15,-1.8209999999999997,7.5,8.0,3.0,0.9,5.666666666666666,5.8,1.5
16,-1.8209999999999997,6.166666666666667,7.0,2.0,0.95,5.4,5.5,1.3
17,-1.8209999999999997,6.083333333333333,7.0,2.0,0.95,5.6625000000000005,5.5,1.3
18,-1.6144366666666665,3.25,3.0,1.0,0.95,5.345833333333333,5.5,1.3
19,-1.599486666666666,5.75,3.0,0.0,0.95,5.3291666666666675,5.5,1.3
20,-1.4743500000000003,5.916666666666667,4.0,1.0,0.95,5.783333333333333,5.6,1.3
21,-1.6287500000000004,3.9166666666666665,6.0,1.0,0.95,5.320833333333334,5.4,1.3
22,-1.6287500000000004,5.333333333333333,6.0,1.0,0.95,5.304166666666666,5.4,1.3
23,-1.6339933333333332,4.166666666666667,3.0,0.0,0.9,4.8999999999999995,5.4,1.4
24,-1.4743500000000003,4.75,4.0,1.0,0.9,5.3125,5.5,1.4
25,-1.6287500000000004,6.75,9.0,1.0,0.9,5.2958333333333325,5.5,1.4
26,-1.6329500000000003,7.833333333333333,9.0,2.0,0.9,5.341666666666667,5.5,1.4
27,-1.6287500000000004,5.0,6.0,1.0,0.9,5.549999999999999,5.6,1.4
28,-1.6287500000000004,5.833333333333333,5.0,1.0,0.9,5.3875,5.5,1.4
29,-1.6329500000000003,6.833333333333333,7.0,3.0,0.9,5.5041666666666655,5.6,1.4
